Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
attelementresist,progression,Attribute,,,Element,,,,,,エレメンタル,,,,,,元素,元素,
attElementResist,progression,Attribute,,,Element,,,,,,エレメンタル,,,,,,元素,元素,
attElementResistName,progression,Attribute,,,The power of the elements,,,,,,エレメンタルの力,,,,,,元素力量,元素力量,
attElementResistDesc,progression,Attribute,,,Proficient in various weapons and tools expert,,,,,,さまざまな武器やツールに精通した専門家,,,,,,精通各种武器与工具的专家,精通各種武器與工具的專家,
skillSpecializationName,progression,Skill,,,Specialization,,,,,,専門化,,,,,,专精,專精,
skillSpecializationDesc,progression,Skill,,,Proficient in various weapons and tools,,,,,,さまざまな武器やツールに習熟している,,,,,,精通各种武器与工具,精通各種武器與工具,
skillProfessionName,progression,Skill,,,Profession,,,,,,職業,,,,,,职业,職業,
skillProfessionDesc,progression,Skill,,,"Choosing a profession can get bonuses to certain abilities, but there are also some negative effects.",,,,,,職業を選択すると、特定の能力にボーナスを得ることができますが、いくつかの悪影響もあります。,,,,,,选择职业可以得到某些能力的加成，但是也存在一些负面效果。,選擇職業可以得到某些能力的加成，但是也存在一些負面效果。,
attElementResistRank01Desc,progression,Attribute,,,"When the five attributes of perception, strength, fortitude, agility, and intellect reach the highest level, additional abilities will be added.",,,,,,知覚、強さ、忍耐、敏捷、知恵の5つの属性が最高レベルに達すると、追加の能力が追加されます。,,,,,,感知、力量、坚忍、敏捷、智慧五项属性达到最高等级时，将附加额外能力。,感知、力量、堅忍、敏捷、智慧五項屬性達到最高等級時，將附加額外能力。,
attElementResistRank01LongDesc,progression,Attribute,,,"At the highest level of perception, +5% damage from long range weapons.\nAt the highest level of strength, the damage of melee attack weapons +5%.\nAt the highest level of fortitude, take damage -5%, stamina cost -5%.\nAt the highest level of agility, attack speed +5%, mobility +5%.\nAt the highest level of intellect, crafting time -5%, sale discount +5%.",,,,,,最高レベルの知覚では、長距離攻撃兵器のダメージ +5％。\n最高レベルの強さでは、近距離攻撃兵器のダメージ +5％。\n最高レベルの忍耐では、ダメージを受ける -5％、耐久消費 -5％。\n最高レベルの敏捷では、攻撃速度 +5％、アクションパワー +5％。\n最高レベルの知恵では、合成時間は -5％、 セール割引 +5％。,,,,,,当感知最高等级时，远距离攻击武器对实体伤害+5%。\n当力量最高等级时，近距离攻击武器伤害+5%。\n当坚忍最高等级时，受到伤害-5%，耐力消耗-5%。\n当敏捷最高等级时，攻击速度+5%，行动力+5%。\n当智慧最高等级时，合成时间-5%。买卖交易折扣+5%。,當感知最高等級時，遠距離攻擊武器對實體傷害+5%。\n當力量最高等級時，近距離攻擊武器傷害+5%。\n當堅忍最高等級時，受到傷害-5%，耐力消耗-5%。\n當敏捷最高等級時，攻擊速度+5%，行動力+5%。\n當智慧最高等級時，合成時間-5%。買賣交易折扣+5%。,

perkPistolLicenseName,progression,Perk,,,Pistol license,,,,,,ピストルのライセンス,,,,,,手枪证照,手槍證照,
perkPistolLicenseDesc,progression,Perk,,,"Proficiency certificate pistol\nPistol, SMG-5, .44 Magnum, .44 Desert Vulture",,,,,,"ピストルの習熟度証明書\nPistol, SMG-5, .44 Magnum, .44 Desert Vulture",,,,,,"精通手枪的认定证书\nPistol, SMG-5, .44 Magnum, .44 Desert Vulture","精通手槍的認定證書\nPistol, SMG-5, .44 Magnum, .44 Desert Vulture",
perkPistolLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkPistolLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkPistolLicenseEnchantMagazineName,progression,Perk,,,Pistol: Enhanced magazine,,,,,,ピストル：強化弾薬,,,,,,手枪：弹匣强化,手槍：彈匣強化,
