Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
planted9mmBulletSeedling,blocks,Farming,,,9mm bullet (Seed),,,,,,9mm弾（種子）,,,,,,9mm子弹(种子),9mm子彈(種子),
planted9mmBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows 9mm bullets.,,,,,,9mmの弾丸を成長させる魔法の植物。,,,,,,会生长9mm子弹的神奇植物。,會生長9mm子彈的神奇植物。,
planted9mmBullet2,blocks,Farming,,,9mm bullet (growing),,,,,,9mm弾（成長中）,,,,,,9mm子弹(生长中),9mm子彈(生長中),
planted9mmBullet3,blocks,Farming,,,9mm bullet (mature),,,,,,9mm弾（成熟）,,,,,,9mm子弹(成熟),9mm子彈(成熟),
planted44BulletSeedling,blocks,Farming,,,.44 bullet (Seed),,,,,,.44弾（種子）,,,,,,.44子弹(种子),.44子彈(種子),
planted44BulletSeedlingDesc,blocks,Farming,,,A magical plant that grows .44 bullets.,,,,,,.44の弾丸を成長させる魔法の植物。,,,,,,会生长.44子弹的神奇植物。,會生長.44子彈的神奇植物。,
planted44Bullet2,blocks,Farming,,,.44 bullet (growing),,,,,,.44弾（成長中）,,,,,,.44子弹(生长中),.44子彈(生長中),
planted44Bullet3,blocks,Farming,,,.44 bullet (mature),,,,,,.44弾（成熟）,,,,,,.44子弹(成熟),.44子彈(成熟),
planted762BulletSeedling,blocks,Farming,,,7.62mm bullet (Seed),,,,,,7.62mm弾（種子）,,,,,,7.62mm子弹(种子),7.62mm子彈(種子),
planted762BulletSeedlingDesc,blocks,Farming,,,A magical plant that grows 7.62mm bullets.,,,,,,7.62mmの弾丸を成長させる魔法の植物。,,,,,,会生长7.62mm子弹的神奇植物。,會生長7.62mm子彈的神奇植物。,
planted762Bullet2,blocks,Farming,,,7.62mm bullet (growing),,,,,,7.62mm弾（成長中）,,,,,,7.62mm子弹(生长中),7.62mm子彈(生長中),
planted762Bullet3,blocks,Farming,,,7.62mm bullet (mature),,,,,,7.62mm弾（成熟）,,,,,,7.62mm子弹(成熟),7.62mm子彈(成熟),
plantedShotgunShellBulletSeedling,blocks,Farming,,,Shotgun (seed),,,,,,ショットガン（種子）,,,,,,霰弹(种子),霰彈(種子),
plantedShotgunShellBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Shotgun bullets.,,,,,,ショットガンの弾丸を成長させる魔法の植物。,,,,,,会生长霰弹子弹的神奇植物。,會生長霰彈子彈的神奇植物。,
plantedShotgunShellBullet2,blocks,Farming,,,Shotgun (growing),,,,,,ショットガン（成長中）,,,,,,霰弹(生长中),霰彈(生長中),
plantedShotgunShellBullet3,blocks,Farming,,,Shotgun (mature),,,,,,ショットガン（成熟）,,,,,,霰弹(成熟),霰彈(成熟),
plantedShotgunSlugBulletSeedling,blocks,Farming,,,Armor-piercing bullet (seed),,,,,,装甲貫通弾（種子）,,,,,,穿甲弹(种子),穿甲彈(種子),
plantedShotgunSlugBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Armor-piercing bullets.,,,,,,装甲貫通弾の弾丸を成長させる魔法の植物。,,,,,,会生长穿甲弹的神奇植物。,會生長穿甲彈的神奇植物。,
